Nama Grup,Buku
,
Nayya & Co,ODI 1
,(Paket 1)
,17 Jun - 4 Sep
,
,
,
Hikari & Co,SC+ 1
,(Paket 2)
,16 Jun - 3 Sep
,
Xavier & Co,SC 2 PKT 1
,(Paket 2)
,
,
,
,
Bradley & Co,ODI 3
,(Paket 1)
,1 Jun - 19 Aug
,
,
,
,
,
,
,
,
Gibran & Co,KB 5
,(Paket 2)
,26 Mei-13 Aug
,
,
,
,
Louis & Co,CURIOUS
,Kids 4 pkt 1
,26 Mer-13 Aug
,
,
,
,
Zayyan & Co,CT 2
,(Paket 1)
,6 Mei-24 Jul
,
,
,
,
,
,
Nizam & Co,NF 4
,(Paket 1)
,(6 Mei-24 Jul)
,
,
,
,
,
Justin & Co,NF 4
,(Paket 3)
,22 Jun - 9 Sep 
,
,
,
,
,
Mateo & Co,CU B1
,(Paket 3)
,23 Jun - 10 Sep 
,
,
,
,
,
Darren & Co,CU B1
,25 Mei -14 Aug
,
,
,
,
Mikail & Co,IC 1 PKT 1
,(Paket 2)
,23Jun-10 Sep
,
,
,
,
,
,
,
,
,
,
,
,
Raeesa & Co,IC 2
,(Paket 3)
,26 Mei-13 Aug
,
,
,
,
,
,
,
,
,
,
Zia & Co,CU B1+
,(Paket 4)
,4 Mei-24 Jul
,
,
,
,
,
,
,
Daphne & Co ,
,
,
,
,
,
,
California & Co,Pre Inter 
,(Paket 1)
,
,
,
,
,
,
,
,
,
,
,
,
Chicago & Co,Intermediate +
,(Paket 2)
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Osaka & Co,Upper Inter
,(Paket 2)
,5 Mei-13 Jul
,
,
,
,
,
,
,
,
Brooklyn & Co,IC Intro
,4 Mei-22 Juli
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Private Off,Private 30
Private Off,Private 30
Private Off,Private 30
Private Off,Private 20 
Private Off,Private 20
Private Off,Privat 10
Private Off,Privat 10
Private Off,Privat 10
Private Off,Privat 10
Private Off,Privat 10
Private Off,Privat 10
Private Off,Private 30
Private Off,Private 20
Private Off,Privat 10
Private Off,Privat 10
Private Off,Privat 10
Private Off,Privat 30
Private Off,Privat 10
,
Semi Private Off,
Semi Private Off,
Semi Private Off,
,
TOEFL,TOEFL 30 
TOEFL,TOEFL 30 
,
IELTS,IELTS 40 
IELTS,IELTS 40 
IELTS,IELTS 40
IELTS,IELTS 10
IELTS,IELTS 40
Pre-IELTS,PRIVATE 30 
Pre-IELTS,PRIVATE 30
IELTS,IELTS 40
IELTS,IELTS 40
Pre-IELTS,PRIVATE 30
IELTS,IELTS 30
IELTS,IELTS 30
Pre-IELTS,PRIVATE 30
Pre-IELTS,PRIVATE 30
Pre-IELTS,PRIVATE 30
IELTS,IELTS 40
IELTS,IELTS 40
IELTS,IELTS 30
IELTS,IELTS 40
Pre-IELTS,PRIVATE 30
Pre-IELTS,PRIVATE 30
